timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-04-25T23:02:27	82	92.805500	88	arrived	1	323	1	0	0
2026-04-25T23:02:30	83	203.751640	222	arrived	1	325	1	0	0
2026-04-25T23:02:31	84	74.691460	105	arrived	1	325	1	0	0
2026-04-25T23:02:34	85	-63.309059	324	arrived	1	330	1	0	0
2026-04-25T23:02:37	86	152.781770	260	arrived	1	334	1	0	0
2026-04-25T23:02:39	87	24.395622	320	arrived	1	342	1	0	0
2026-04-25T23:02:41	88	165.611920	163	arrived	1	342	1	0	0
2026-04-25T23:02:43	89	209.516160	203	arrived	1	344	1	0	0
2026-04-25T23:02:47	90	-11.668295	434	arrived	1	350	1	0	0
2026-04-25T23:02:49	91	89.072740	77	arrived	1	354	1	0	0
2026-04-25T23:02:52	92	-252.917360	321	arrived	1	356	1	0	0
2026-04-25T23:02:53	93	-0.214920	95	arrived	1	356	1	0	0
2026-04-25T23:02:56	94	101.375900	268	arrived	1	359	1	0	0
2026-04-25T23:03:00	95	-361.898294	520	arrived	1	364	1	0	0
2026-04-25T23:03:02	96	87.091040	103	arrived	1	374	1	0	0
2026-04-25T23:03:04	97	158.823953	202	arrived	1	376	1	0	0
2026-04-25T23:03:05	98	98.450180	84	arrived	1	382	1	0	0
2026-04-25T23:03:07	99	-127.616060	162	arrived	1	382	1	0	0
2026-04-25T23:03:11	100	12.036871	434	arrived	1	387	1	0	0
2026-04-25T23:03:14	101	126.011518	210	arrived	1	393	1	0	0
2026-04-25T23:03:16	102	192.041584	160	arrived	1	393	1	0	0
2026-04-25T23:03:19	103	140.329340	302	arrived	1	395	1	0	0
2026-04-25T23:03:20	104	98.236967	106	arrived	1	395	1	0	0
2026-04-25T23:03:23	105	139.854140	272	arrived	1	398	1	0	0
2026-04-25T23:03:26	106	147.954780	274	arrived	1	402	1	0	0
2026-04-25T23:03:28	107	195.607460	233	arrived	1	405	1	0	0
2026-04-25T23:03:30	108	54.957380	281	arrived	1	408	1	0	0
2026-04-25T23:03:32	109	32.134880	107	arrived	1	408	1	0	0
2026-04-25T23:03:34	110	76.703120	190	arrived	1	410	1	0	0
2026-04-25T23:03:39	111	-403.216011	590	arrived	1	417	1	0	0
2026-04-25T23:03:41	112	142.804200	160	arrived	1	417	1	0	0
2026-04-25T23:03:44	113	-232.810100	357	arrived	1	423	1	0	0
2026-04-25T23:03:46	114	180.426321	195	arrived	1	425	1	0	0
2026-04-25T23:03:50	115	103.299593	518	arrived	1	434	1	0	0
2026-04-25T23:03:52	116	83.368660	204	arrived	1	438	1	0	0
2026-04-25T23:03:54	117	204.812944	175	arrived	1	440	1	0	0
2026-04-25T23:03:55	118	12.150236	112	arrived	1	440	1	0	0
2026-04-25T23:03:58	119	88.178200	265	arrived	1	444	1	0	0
2026-04-25T23:03:59	120	-6.750380	119	arrived	1	444	1	0	0
2026-04-25T23:04:01	121	31.680000	132	arrived	1	444	1	0	0
2026-04-25T23:04:05	122	227.818040	509	arrived	1	452	1	0	0
2026-04-25T23:04:07	123	85.101260	117	arrived	1	452	1	0	0
2026-04-25T23:04:09	124	189.870740	263	arrived	1	456	1	0	0
2026-04-25T23:04:11	125	174.460817	195	arrived	1	459	1	0	0
2026-04-25T23:04:16	126	146.216260	560	arrived	1	465	1	0	0
2026-04-25T23:04:18	127	150.898933	295	arrived	1	467	1	0	0
2026-04-25T23:04:21	128	139.640900	249	arrived	1	472	1	0	0
2026-04-25T23:04:23	129	210.065770	249	arrived	1	476	1	0	0
2026-04-25T23:04:25	130	188.079160	208	arrived	1	478	1	0	0
2026-04-25T23:04:26	131	100.196560	91	arrived	1	485	1	0	0
2026-04-25T23:04:28	132	87.092300	100	arrived	1	499	1	0	0
2026-04-25T23:04:32	133	161.588420	435	arrived	1	506	1	0	0
2026-04-25T23:04:34	134	207.867256	226	arrived	1	510	1	0	0
2026-04-25T23:04:38	135	-69.775898	521	arrived	1	520	1	0	0
2026-04-25T23:04:40	136	133.979520	162	arrived	1	520	1	0	0
2026-04-25T23:04:41	137	133.181980	90	arrived	1	520	1	0	0
2026-04-25T23:04:43	138	96.152320	94	arrived	1	520	1	0	0
2026-04-25T23:04:46	139	108.929620	359	arrived	1	522	1	0	0
2026-04-25T23:04:49	140	188.701280	283	arrived	1	526	1	0	0
2026-04-25T23:04:52	141	-735.183629	348	arrived	1	529	1	0	0
2026-04-25T23:04:54	142	89.256040	306	arrived	1	533	1	0	0
2026-04-25T23:04:56	143	149.680280	170	arrived	1	533	1	0	0
2026-04-25T23:04:59	144	53.781360	308	arrived	1	538	1	0	0
2026-04-25T23:05:01	145	67.337680	91	arrived	1	538	1	0	0
2026-04-25T23:05:03	146	194.120580	198	arrived	1	540	1	0	0
2026-04-25T23:05:04	147	57.879070	95	arrived	1	540	1	0	0
2026-04-25T23:05:07	148	253.851387	235	arrived	1	542	1	0	0
2026-04-25T23:05:08	149	191.292618	161	arrived	1	542	1	0	0
