timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-03-30T15:03:43	104	157.006040	229	arrived	1	224	1	1	0
2026-03-30T15:03:52	105	70.337420	781	arrived	1	228	1	1	0
2026-03-30T15:04:01	106	-342.103820	698	arrived	1	233	1	1	0
2026-03-30T15:04:04	107	108.912460	247	arrived	1	235	1	1	0
2026-03-30T15:04:07	108	146.850700	270	arrived	1	236	1	1	0
2026-03-30T15:04:15	109	-670.445640	693	arrived	1	242	1	1	0
2026-03-30T15:04:18	110	156.938980	226	arrived	1	243	1	1	0
2026-03-30T15:04:23	111	99.874400	442	arrived	1	244	1	1	0
2026-03-30T15:04:26	112	108.175320	228	arrived	1	245	1	1	0
2026-03-30T15:04:32	113	195.076150	535	arrived	1	249	1	1	0
2026-03-30T15:04:39	114	216.463600	527	arrived	1	253	1	1	0
2026-03-30T15:04:44	115	191.230672	436	arrived	1	258	1	1	0
2026-03-30T15:04:49	116	86.605412	438	arrived	1	263	1	1	0
2026-03-30T15:04:54	117	131.715881	437	arrived	1	270	1	1	0
2026-03-30T15:04:59	118	210.447460	436	arrived	1	273	1	1	0
2026-03-30T15:05:02	119	150.258450	221	arrived	1	274	1	1	0
2026-03-30T15:05:08	120	161.270539	530	arrived	1	278	1	1	0
2026-03-30T15:05:11	121	157.009545	237	arrived	1	280	1	1	0
2026-03-30T15:05:16	122	164.907160	443	arrived	1	281	1	1	0
2026-03-30T15:05:19	123	153.212580	218	arrived	1	283	1	1	0
2026-03-30T15:05:21	124	166.481120	230	arrived	1	284	1	1	0
2026-03-30T15:05:24	125	165.492400	229	arrived	1	285	1	1	0
2026-03-30T15:05:30	126	145.772981	502	arrived	1	288	1	1	0
2026-03-30T15:05:39	127	-531.249620	779	arrived	1	294	1	1	0
2026-03-30T15:05:42	128	168.534840	242	arrived	1	295	1	1	0
