[2026-04-25T21:12:33.820429+01:00] Warning: Vehicle 'Costa_1_15'; side collision with vehicle 'Costa_1_17', lane=':b3_2_0', gap=-1.00, time=153.00, stage=laneChange.
[2026-04-25T21:12:33.994186+01:00] Warning: Vehicle 'ego'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:12:35.200174+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=61.00, stage=move.
[2026-04-25T21:12:35.213230+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:36.498160+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:37.314758+01:00] Warning: Vehicle 'Pertini_20_69'; junction collision with vehicle 'Prati_Capraia_30_33', lane=':b4_9_1', gap=-1.00, time=241.00, stage=move.
[2026-04-25T21:12:37.961130+01:00] Warning: Vehicle 'bus_6_60'; junction collision with vehicle 'Pertini_73_131', lane=':b18_5_0', gap=-1.00, time=351.00, stage=move.
[2026-04-25T21:12:38.637213+01:00] Warning: Vehicle 'Costa_200_104'; junction collision with vehicle 'bus_140_360', lane=':a27_10_0', gap=-1.00, time=454.00, stage=move.
[2026-04-25T21:12:39.915585+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:39.924663+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:41.687493+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:42.269700+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=185.00, stage=move.
[2026-04-25T21:12:42.623608+01:00] Warning: Vehicle 'Pertini_20_73'; junction collision with vehicle 'Prati_Capraia_30_33', lane=':b4_9_1', gap=-1.00, time=234.00, stage=move.
[2026-04-25T21:12:44.048882+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:44.057656+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:44.223514+01:00] Warning: Vehicle 'Pertini_20_28'; junction collision with vehicle 'Prati_Capraia_30_6', lane=':b4_9_1', gap=-1.00, time=115.00, stage=move.
[2026-04-25T21:12:44.515987+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:12:44.752992+01:00] Warning: Vehicle 'Pertini_20_54'; junction collision with vehicle 'Prati_Capraia_30_33', lane=':b4_9_1', gap=-1.00, time=229.00, stage=move.
[2026-04-25T21:12:44.819384+01:00] Warning: Vehicle 'Pertini_20_85'; junction collision with vehicle 'Prati_Capraia_30_33', lane=':b4_9_1', gap=-1.00, time=242.00, stage=move.
[2026-04-25T21:12:46.489770+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:46.894325+01:00] Warning: Vehicle 'Costa_1_17'; side collision with vehicle 'Costa_1_15', lane=':b3_0_1', gap=-1.00, time=153.00, stage=laneChange.
[2026-04-25T21:12:47.053511+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:12:48.097818+01:00] Warning: Vehicle 'bus_6_60'; junction collision with vehicle 'Pertini_73_131', lane=':b18_5_0', gap=-1.00, time=351.00, stage=move.
[2026-04-25T21:12:48.806089+01:00] Warning: Vehicle 'Costa_200_104'; junction collision with vehicle 'bus_140_360', lane=':a27_10_0', gap=-1.00, time=454.00, stage=move.
[2026-04-25T21:12:50.512241+01:00] Warning: Vehicle 'bus_12_600'; junction collision with vehicle 'Pertini_20_263', lane=':b4_3_0', gap=-1.00, time=688.00, stage=move.
[2026-04-25T21:12:50.522657+01:00] Warning: Vehicle 'Pertini_20_267'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=689.00, stage=move.
[2026-04-25T21:12:51.842063+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:51.851398+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:51.910553+01:00] Warning: Vehicle 'Pertini_20_12'; junction collision with vehicle 'Prati_Capraia_30_6', lane=':b4_9_1', gap=-1.00, time=83.00, stage=move.
[2026-04-25T21:12:52.212260+01:00] Warning: Vehicle 'Costa_1_17'; side collision with vehicle 'Costa_1_15', lane=':b3_0_1', gap=-1.00, time=151.00, stage=laneChange.
[2026-04-25T21:12:52.370197+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=185.00, stage=move.
[2026-04-25T21:12:53.615455+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:54.155601+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:12:54.947352+01:00] Warning: Vehicle 'Prati_Capraia_30_42'; junction collision with vehicle 'Pertini_20_85', lane=':b4_3_0', gap=-1.00, time=313.00, stage=move.
[2026-04-25T21:12:56.408951+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=63.00, stage=move.
[2026-04-25T21:12:56.490556+01:00] Warning: Vehicle 'Pertini_20_12'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=82.00, stage=move.
[2026-04-25T21:12:56.501097+01:00] Warning: Vehicle 'Pertini_20_15'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=84.00, stage=move.
[2026-04-25T21:12:56.517058+01:00] Warning: Vehicle 'Pertini_20_14'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=87.00, stage=move.
[2026-04-25T21:12:56.533195+01:00] Warning: Vehicle 'Pertini_20_16'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=90.00, stage=move.
[2026-04-25T21:12:56.679634+01:00] Warning: Vehicle 'Pertini_20_25'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=114.00, stage=move.
[2026-04-25T21:12:56.700365+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_19', lane=':b4_3_0', gap=-1.00, time=117.00, stage=move.
[2026-04-25T21:12:56.707540+01:00] Warning: Vehicle 'Pertini_20_27'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=118.00, stage=move.
[2026-04-25T21:12:58.004280+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:58.014160+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:58.501406+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:12:59.515262+01:00] Warning: Vehicle 'bus_6_60'; junction collision with vehicle 'Pertini_73_131', lane=':b18_5_0', gap=-1.00, time=351.00, stage=move.
[2026-04-25T21:13:00.255136+01:00] Warning: Vehicle 'Costa_200_104'; junction collision with vehicle 'bus_140_360', lane=':a27_10_0', gap=-1.00, time=455.00, stage=move.
[2026-04-25T21:13:01.937785+01:00] Warning: Vehicle 'bus_12_600'; junction collision with vehicle 'Pertini_20_165', lane=':b4_3_0', gap=-1.00, time=688.00, stage=move.
[2026-04-25T21:13:01.951401+01:00] Warning: Vehicle 'Pertini_20_175'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=690.00, stage=move.
[2026-04-25T21:13:01.971116+01:00] Warning: Vehicle 'Pertini_20_201'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=693.00, stage=move.
[2026-04-25T21:13:01.984082+01:00] Warning: Vehicle 'Pertini_20_210'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=695.00, stage=move.
[2026-04-25T21:13:01.998649+01:00] Warning: Vehicle 'Pertini_20_218'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=697.00, stage=move.
[2026-04-25T21:13:02.016700+01:00] Warning: Vehicle 'bus_12_600'; junction collision with vehicle 'Pertini_20_219', lane=':b4_3_0', gap=-1.00, time=699.00, stage=move.
[2026-04-25T21:13:02.037632+01:00] Warning: Vehicle 'Pertini_23_203'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=702.00, stage=move.
[2026-04-25T21:13:02.050301+01:00] Warning: Vehicle 'bus_12_600'; junction collision with vehicle 'Pertini_20_233', lane=':b4_3_0', gap=-1.00, time=704.00, stage=move.
[2026-04-25T21:13:02.057224+01:00] Warning: Vehicle 'Pertini_20_240'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=705.00, stage=move.
[2026-04-25T21:13:02.071026+01:00] Warning: Vehicle 'Pertini_20_249'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=707.00, stage=move.
[2026-04-25T21:13:02.085397+01:00] Warning: Vehicle 'Pertini_20_255'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=709.00, stage=move.
[2026-04-25T21:13:02.119212+01:00] Warning: Vehicle 'Pertini_20_261'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=712.00, stage=move.
[2026-04-25T21:13:02.136000+01:00] Warning: Vehicle 'Pertini_20_260'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=714.00, stage=move.
[2026-04-25T21:13:02.151248+01:00] Warning: Vehicle 'Pertini_20_267'; junction collision with vehicle 'bus_12_600', lane=':b4_9_1', gap=-1.00, time=716.00, stage=move.
[2026-04-25T21:13:02.224330+01:00] Warning: Vehicle 'Costa_200_197'; junction collision with vehicle 'bus_210_600', lane=':a27_10_0', gap=-1.00, time=725.00, stage=move.
[2026-04-25T21:13:04.052556+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:13:04.061783+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:13:04.129681+01:00] Warning: Vehicle 'Pertini_20_12'; junction collision with vehicle 'Prati_Capraia_30_6', lane=':b4_9_1', gap=-1.00, time=82.00, stage=move.
[2026-04-25T21:13:04.433392+01:00] Warning: Vehicle 'Costa_1_15'; side collision with vehicle 'Costa_1_17', lane=':b3_2_0', gap=-1.00, time=152.00, stage=laneChange.
[2026-04-25T21:13:04.581480+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:13:06.649677+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
